participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
1,SOLO,MIDDLE,0,0,0,0,16,False,4,7,11320,11185,132060,11630,117457,2973,13631,715,11946,969,0,393,17,682,6396,17875,8161,9607,106,1236,1,0,0,0,0,216,1,1,0,6,1,0,0,0,2,2,3,22,12,3,0,2
2,NONE,JUNGLE,0,0,0,0,14,False,5,6,9594,8925,110276,26757,77469,6048,15826,1879,12868,1078,0,319,20,589,8529,22825,13663,8633,528,6707,1,0,0,1448,1448,43,58,46,12,4,0,0,0,0,1,1,2,35,13,8,0,8
3,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,8,8,8740,8425,46244,3807,41399,1038,10715,750,8927,1038,0,287,91,477,8617,20294,10183,9978,132,2278,1,0,0,189,189,35,0,0,0,3,0,0,0,0,1,1,2,63,31,6,0,7
4,SOLO,TOP,0,0,0,0,14,False,1,6,10499,10008,98860,85877,1376,11606,10864,7120,1212,2531,0,34,19,1189,18372,28811,16999,11197,614,6599,1,0,0,358,358,215,0,0,0,5,0,0,0,0,1,2,2,26,14,5,0,3
5,DUO_CARRY,BOTTOM,0,0,0,0,14,False,7,6,10223,10050,128815,127913,428,474,16694,15999,242,452,1230,52,17,548,9780,18227,10630,7337,260,1647,2,0,0,422,796,197,9,9,0,2,0,0,0,0,1,0,0,17,7,5,0,0
6,SOLO,MIDDLE,0,0,0,0,17,True,3,3,15120,14585,166180,20571,145608,0,27742,1816,25925,0,0,968,19,783,13312,15577,6127,8571,878,3657,1,1,0,5115,5115,201,27,7,20,13,2,0,0,0,2,1,12,35,13,1,0,4
7,DUO_SUPPORT,BOTTOM,0,0,0,0,14,True,12,8,11323,11000,60495,6782,52737,976,16788,1121,14691,976,0,359,32,339,5116,18107,8858,8642,605,890,5,1,0,2215,2911,41,17,9,8,5,0,0,0,0,1,1,2,53,18,9,0,4
8,SOLO,TOP,0,0,0,0,17,True,13,4,12837,10750,141541,137316,4224,0,16689,15114,1575,0,286,234,22,581,29300,23019,12990,7511,2516,3329,1,2,0,2886,8238,235,10,2,8,2,0,0,0,0,1,0,0,18,11,4,0,2
9,NONE,JUNGLE,0,0,0,0,15,True,4,4,11297,9800,137044,101687,25864,9492,11312,8177,2935,200,0,706,11,770,21494,26429,17833,7998,598,8010,1,2,0,3342,21814,23,91,54,37,7,0,0,0,0,1,2,4,59,29,5,0,7
10,DUO_CARRY,BOTTOM,0,0,0,0,16,True,13,1,13891,12050,174169,165368,6471,2330,15583,14909,210,464,1372,288,18,1632,8210,12759,5911,4597,2251,5612,3,1,1,8261,15469,209,13,9,4,6,1,0,0,0,2,1,5,16,10,3,0,0
