participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
1,SOLO,TOP,0,0,0,0,17,True,10,6,14287,13850,163943,159609,4303,30,22318,20188,2099,30,0,40,13,575,18736,29262,18394,8567,2300,3910,1,2,1,4392,6659,227,18,5,13,8,1,0,0,0,2,3,3,16,11,1,0,0
2,DUO_CARRY,BOTTOM,0,0,0,0,18,True,8,9,17518,14200,214160,142130,56408,15621,35255,24447,4027,6780,1013,433,26,367,15281,28723,17676,10725,322,8846,3,2,0,8530,14945,233,9,6,3,18,3,2,1,1,5,3,9,31,12,5,0,0
3,NONE,JUNGLE,0,0,0,0,16,True,19,5,11535,10700,97068,16887,70283,9896,13847,2101,9854,1890,0,642,54,870,29638,33900,18918,13551,1430,10633,1,0,0,313,4259,40,75,59,16,2,0,0,0,0,1,0,0,30,15,5,0,3
4,SOLO,MIDDLE,0,0,0,0,18,True,15,4,15527,13095,188632,13376,174302,952,27010,1615,24728,666,800,3366,46,736,8819,26125,12066,13277,781,14565,1,1,0,2111,4244,232,32,18,14,10,0,0,0,0,1,2,4,31,6,7,0,2
5,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,23,7,11654,10050,28438,5937,21377,1123,8609,1457,6580,570,0,149,71,504,13484,19759,11447,8210,102,3918,6,0,0,816,2039,23,0,0,0,3,0,0,0,0,1,0,0,82,34,10,0,0
6,NONE,JUNGLE,0,0,0,0,15,False,9,9,11193,10275,124318,95871,18008,10438,12347,9984,2231,132,0,422,13,319,28561,32032,21253,8567,2211,7293,1,1,0,691,9765,48,63,55,8,3,1,0,0,0,2,1,3,35,24,1,0,2
7,SOLO,TOP,0,0,0,0,16,False,5,10,11855,11700,153384,145772,1649,5962,17088,11734,1071,4282,686,89,10,587,29860,36065,24286,9937,1841,6488,7,1,0,2060,5227,227,17,2,15,3,0,0,0,0,1,1,3,23,14,1,0,1
8,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,14,6,9436,8975,29822,9044,14666,6111,10374,3464,6819,90,0,288,46,983,28857,22890,10872,9925,2093,1532,4,0,0,654,2866,41,2,0,2,1,0,0,0,0,1,0,0,71,33,5,0,5
9,DUO_CARRY,BOTTOM,0,0,0,0,15,False,10,8,14683,14775,209321,166009,40795,2516,29151,25066,3652,432,1680,121,26,522,14046,25924,16234,7889,1801,6165,2,1,0,4378,22542,219,14,12,2,10,0,0,0,0,1,4,3,13,7,2,0,1
10,SOLO,MIDDLE,0,0,0,0,16,False,6,8,14081,13175,159998,9852,149757,389,39665,840,38824,0,0,534,28,607,10784,26404,12217,12194,1992,3443,1,1,0,498,1224,175,23,7,16,14,2,0,0,0,2,3,4,26,13,0,0,4
1,SOLO,MIDDLE,0,0,0,0,18,True,14,3,19803,18060,251461,25146,220956,5358,36515,1623,32301,2590,0,394,38,809,16765,25132,10559,13798,774,6646,1,2,0,8493,23214,253,26,14,12,8,1,0,0,0,2,3,3,20,9,5,0,0
2,NONE,JUNGLE,0,0,0,0,17,True,10,4,15015,13250,134781,103015,19057,12708,16120,11631,3655,833,0,809,22,911,42158,33612,17920,14123,1569,9703,1,2,1,2818,23753,18,71,60,11,9,1,0,0,0,2,1,8,60,30,5,0,3
3,DUO_CARRY,BOTTOM,0,0,0,0,18,True,8,6,18467,15900,276627,212889,58379,5358,33864,25420,5545,2898,2423,144,21,689,17746,21738,14225,6907,605,4275,4,4,2,6014,22187,271,18,12,6,7,2,0,0,0,2,3,3,25,11,6,0,2
4,DUO_SUPPORT,BOTTOM,0,0,0,0,16,True,10,5,12036,9475,17733,6120,9355,2258,6479,1426,3610,1441,0,163,19,822,8028,16698,9387,7076,234,6253,8,0,0,1067,3006,13,0,0,0,1,0,0,0,0,1,0,0,102,38,8,0,3
5,SOLO,TOP,0,0,0,0,18,True,12,5,17126,16508,215424,203183,3648,8592,16670,11057,705,4907,1101,154,7,837,28675,27755,14070,10703,2981,10434,10,1,3,6592,18381,249,14,1,13,5,0,0,0,0,1,1,4,63,20,6,0,5
6,NONE,JUNGLE,0,0,0,0,16,False,10,7,11589,11620,131689,25520,97837,8331,14268,2064,11750,453,531,1145,39,464,37977,36918,21513,12031,3373,14493,1,0,0,1124,5177,63,59,49,10,1,0,0,0,0,1,0,0,69,32,6,0,3
7,DUO_SUPPORT,BOTTOM,0,0,0,0,15,False,14,7,10569,10300,32404,8357,23204,841,7707,1113,5753,841,0,157,34,676,36495,23835,12514,9345,1975,3196,5,0,0,1216,2896,51,1,0,1,0,0,0,0,0,0,0,0,75,32,7,0,0
8,DUO_CARRY,BOTTOM,0,0,0,0,18,False,8,5,17267,17425,320355,315792,0,4562,22554,21760,0,794,756,358,3,671,20264,30720,18334,10751,1634,7197,3,1,0,5403,9955,367,13,13,0,6,0,0,0,0,1,2,2,20,10,7,0,1
9,SOLO,TOP,0,0,0,0,18,False,9,8,15044,14725,181186,176265,2390,2531,21538,17350,1866,2321,1030,262,2,542,25513,25918,12323,8558,5036,6520,1,3,0,3186,8915,243,15,15,0,6,0,0,0,0,1,1,2,25,9,7,0,1
10,SOLO,MIDDLE,0,0,0,0,18,False,4,3,18608,17975,384411,14734,367943,1731,29961,522,28173,1265,0,874,22,1168,20914,17149,8101,7512,1535,911,1,0,0,2652,7540,357,12,11,1,10,3,0,0,0,2,2,7,31,16,1,0,5
1,SOLO,MIDDLE,0,0,0,0,17,False,8,9,12953,12810,192715,17857,173236,1621,26055,1683,23871,501,0,1388,24,762,17623,24101,14439,8307,1355,1495,1,1,0,1732,3178,252,4,3,1,6,0,0,0,0,1,1,2,27,15,1,0,3
2,NONE,JUNGLE,0,0,0,0,16,False,4,9,11402,10733,162673,149760,4138,8774,15026,12051,1130,1844,0,793,29,318,29146,31748,19322,10722,1702,5980,1,1,0,813,7178,43,104,72,32,4,0,0,0,0,1,1,3,26,8,7,0,3
3,DUO_CARRY,BOTTOM,0,0,0,0,17,False,11,2,13746,12850,221546,218157,1899,1489,33281,31356,853,1071,645,86,2,1069,16493,31579,17464,11323,2791,6527,2,0,0,785,785,289,13,11,2,5,0,0,0,0,1,1,4,13,9,2,0,0
4,SOLO,TOP,0,0,0,0,16,False,7,9,11697,10950,109753,98359,7287,4106,23240,14939,5050,3250,873,127,26,446,21287,30853,19734,9792,1326,787,1,0,0,0,0,167,0,0,0,8,0,0,0,0,1,2,5,21,13,3,0,0
5,DUO_SUPPORT,BOTTOM,0,0,0,0,15,False,17,7,9586,9025,27127,5719,21262,144,6287,585,5556,144,0,410,47,402,5992,16775,10078,5870,826,29263,5,0,0,187,187,21,0,0,0,0,0,0,0,0,0,0,0,23,16,4,0,3
6,DUO_CARRY,BOTTOM,0,0,0,0,16,True,9,5,14965,13825,159588,143565,6293,9730,29850,23788,2553,3509,851,609,22,914,12848,23507,18754,3938,813,3523,3,3,0,5673,17343,187,22,14,8,10,1,0,0,0,2,3,3,14,7,3,0,1
7,SOLO,TOP,0,0,0,0,18,True,6,6,17276,16850,231127,198764,26483,5880,33652,27373,6132,146,0,431,9,1055,27346,27534,15153,7469,4911,6288,1,5,2,10907,26127,248,18,0,18,10,0,0,0,0,1,2,6,39,17,3,0,2
8,DUO_SUPPORT,BOTTOM,0,0,0,0,16,True,22,2,11073,9750,35127,10319,23188,1619,9693,2135,5938,1619,0,306,39,1063,12207,18951,14918,3744,288,8101,5,1,0,1398,3744,15,2,2,0,0,0,0,0,0,0,0,0,48,26,3,0,2
9,NONE,JUNGLE,0,0,0,0,16,True,10,5,13765,11733,155249,105995,39589,9664,15547,9288,4496,1762,197,898,43,909,46101,34953,23582,10342,1028,11547,1,0,1,722,12850,55,100,73,27,7,1,0,0,0,2,2,3,27,3,5,0,1
10,SOLO,MIDDLE,0,0,0,0,17,True,10,5,14568,12375,138333,20189,116673,1470,26979,838,25176,965,0,493,25,538,21027,32672,17917,14079,676,15103,1,0,0,4326,6983,194,2,1,1,9,2,0,0,0,2,2,4,21,11,2,0,3
1,NONE,JUNGLE,0,0,0,0,16,True,26,7,12137,11925,92974,19968,62785,10220,10163,2151,7040,972,56,553,54,589,60408,38927,18672,17038,3216,11691,1,0,0,199,4355,19,70,50,20,2,0,0,0,0,1,0,0,15,10,0,0,0
2,SOLO,MIDDLE,0,0,0,0,17,True,9,9,13306,11910,178329,11367,166138,824,23299,384,22090,824,876,122,5,299,14652,34083,18156,14800,1127,21582,1,2,1,3593,5855,225,8,7,1,5,0,0,0,0,1,1,2,22,11,5,0,0
3,DUO_CARRY,BOTTOM,0,0,0,0,18,True,11,3,20219,17825,288646,286512,0,2134,29903,29131,0,772,1112,202,4,869,14679,29631,11102,16681,1847,9979,3,3,0,8335,16153,274,61,36,25,19,3,2,1,1,5,3,9,36,12,2,0,1
4,SOLO,TOP,0,0,0,0,17,True,13,2,16715,15758,207813,179859,21027,6926,28560,20142,7065,1352,1194,656,14,1332,13302,22361,7544,13262,1554,9123,1,3,0,7294,13507,177,7,7,0,16,2,0,0,0,2,2,12,13,12,1,0,1
5,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,25,10,10669,9775,25011,6687,16399,1924,7108,808,5376,924,0,158,38,282,20198,30569,10148,17371,3049,4428,5,0,0,752,2085,44,0,0,0,1,0,0,0,0,1,0,0,90,37,9,0,5
6,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,5,6,11175,11010,75130,6715,57225,11188,24712,1057,17304,6350,0,401,33,709,7357,20375,14155,5961,258,1757,1,0,0,881,1429,32,14,13,1,6,0,0,0,0,1,2,3,84,53,4,0,4
7,SOLO,TOP,0,0,0,0,14,False,5,11,12104,11850,103900,20105,83794,0,35169,810,34359,0,0,566,56,340,12263,22783,13693,7847,1242,475,1,0,0,0,1541,169,3,1,2,7,1,0,0,0,2,1,4,45,8,4,0,2
8,DUO_CARRY,BOTTOM,0,0,0,0,18,False,8,6,16600,16400,312622,301973,6916,3732,24725,23027,1243,454,1857,386,19,1005,13730,24545,12711,10958,875,7089,3,2,0,4628,16020,320,46,27,19,4,0,0,0,0,1,1,2,19,10,5,0,0
9,NONE,JUNGLE,0,0,0,0,15,False,10,12,12757,12805,125927,24206,94479,7242,28060,2744,23325,1990,0,582,40,375,17808,34736,23463,10092,1180,5254,1,0,0,0,0,42,74,45,29,10,1,0,0,0,2,2,4,44,7,3,0,2
10,SOLO,MIDDLE,0,0,0,0,15,False,6,8,12530,12050,166901,156663,10238,0,15658,14332,1325,0,480,130,23,385,26972,23412,13467,8656,1288,552,1,1,0,1490,2338,193,30,20,10,4,0,0,0,0,1,1,2,12,10,0,0,0
1,NONE,JUNGLE,0,0,0,0,15,True,7,3,12137,10750,183268,166221,5843,11202,16341,12924,2572,844,0,568,9,518,12948,22637,16975,5652,10,11778,1,0,0,2149,25732,54,117,66,51,7,1,0,0,0,2,2,3,26,5,1,0,3
2,SOLO,MIDDLE,0,0,0,0,15,True,8,5,11331,9125,132043,13669,113697,4676,16310,379,15800,130,0,92,12,495,8214,13221,6693,6520,8,2758,2,4,0,7575,19140,176,5,2,3,4,0,0,0,0,1,1,2,25,14,2,0,3
3,DUO_CARRY,BOTTOM,0,0,0,0,14,True,6,3,13772,11000,118634,114095,3343,1196,21330,19906,1423,0,578,21,2,647,7282,17388,9909,7478,0,2722,2,3,1,5682,10568,172,5,1,4,12,2,1,0,0,3,3,5,17,6,5,0,0
4,SOLO,TOP,0,0,0,0,14,True,4,8,9992,9500,99817,98023,188,1605,11702,10517,132,1052,0,216,25,402,23230,27768,16459,11109,200,1950,1,1,0,3829,3829,151,0,0,0,4,0,0,0,0,1,2,2,14,7,1,0,0
5,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,15,3,9636,7775,31368,9973,13178,8215,8762,3097,4171,1492,0,60,41,718,14122,15179,11845,3333,0,2058,4,0,0,722,2259,38,1,0,1,3,0,0,0,0,1,1,3,63,29,4,0,7
6,DUO_CARRY,BOTTOM,0,0,0,0,12,False,6,8,8119,8050,80293,75817,3574,902,15244,13214,1898,132,183,1907,41,384,7405,15696,10198,4872,625,2545,3,0,0,0,235,123,7,7,0,3,0,0,0,0,1,1,2,10,6,0,0,0
7,SOLO,TOP,0,0,0,0,14,False,5,3,10408,9850,83956,37911,46045,0,17095,4778,12316,0,0,917,38,929,21164,15795,10302,3846,1646,1718,1,0,0,0,206,158,3,3,0,9,0,0,0,0,1,2,6,18,10,4,0,0
8,NONE,JUNGLE,0,0,0,0,12,False,7,6,8732,7875,83019,65514,14100,3404,10437,7922,2429,86,0,405,15,439,15649,25919,18613,6363,943,5706,1,0,0,0,1306,18,67,51,16,7,0,0,0,0,1,2,3,25,17,1,0,0
9,SOLO,MIDDLE,0,0,0,0,14,False,6,8,9561,9335,122472,8166,113250,1055,11463,487,10976,0,828,2770,33,837,7279,19204,12466,6721,16,5977,1,0,0,0,2622,178,13,5,8,3,0,0,0,0,1,1,3,15,10,2,0,2
10,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,11,5,6553,5750,9410,3530,5880,0,4419,1429,2989,0,0,136,40,685,7116,11917,8663,2966,288,3607,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,42,24,6,0,8
1,SOLO,TOP,0,0,0,0,15,False,3,9,11456,10833,104118,87908,1193,15016,19048,14282,1193,3571,0,267,23,638,21663,29726,16563,12308,854,1156,1,0,0,1663,1663,195,1,1,0,8,1,0,0,0,2,2,3,14,11,0,0,0
2,SOLO,MIDDLE,0,0,0,0,16,False,9,5,11519,10535,130675,13107,75476,42091,21061,784,14965,5311,0,55,28,820,8476,19344,13916,5017,411,2811,1,1,0,2674,3714,216,0,0,0,4,0,0,0,0,1,1,2,9,7,0,0,2
3,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,10,10,7752,7325,15252,5128,9537,586,5386,1016,3783,586,0,98,32,550,20143,25991,16032,9371,588,2621,4,0,0,46,334,35,4,1,3,0,0,0,0,0,0,0,0,31,20,0,0,3
4,NONE,JUNGLE,0,0,0,0,15,False,8,5,11793,10875,149409,140889,2684,5836,9905,9077,61,766,0,643,13,952,31768,23102,13301,6835,2965,7312,1,0,0,0,0,59,117,72,45,5,1,0,0,0,2,2,3,20,0,7,0,0
5,DUO_CARRY,BOTTOM,0,0,0,0,14,False,5,6,11470,9525,137861,136621,0,1240,11496,10870,0,626,508,137,15,449,11453,21432,12861,8467,104,3486,3,0,0,594,950,182,35,21,14,5,0,0,0,0,1,2,2,17,12,2,0,1
6,SOLO,MIDDLE,0,0,0,0,16,True,10,4,14224,12400,146538,18429,126869,1238,21433,1789,18473,1170,0,294,27,963,9710,13984,8467,4143,1373,2521,1,0,0,4330,8890,223,6,6,0,7,1,0,0,0,2,2,4,9,6,0,0,0
7,SOLO,TOP,0,0,0,0,17,True,14,6,13913,12500,170270,147308,22300,660,28759,23984,4130,644,0,231,6,595,12641,22221,14208,4452,3561,3175,1,5,1,10647,16301,234,2,1,1,5,0,0,0,0,1,2,3,24,11,3,0,2
8,NONE,JUNGLE,0,0,0,0,16,True,7,2,14361,13060,182812,164749,8996,9065,22093,17458,3440,1193,0,522,13,1021,26223,36563,22695,10375,3492,16917,1,0,0,2119,20699,45,101,68,33,13,0,0,0,0,1,3,8,23,8,4,0,1
9,DUO,BOTTOM,0,0,0,0,15,True,10,8,12686,11283,124292,90929,32157,1205,21479,12171,8321,987,0,51,2,518,8891,17637,12557,3632,1447,2651,3,1,0,2616,8251,153,11,9,2,5,1,0,0,0,2,1,3,16,11,0,0,0
10,DUO,BOTTOM,0,0,0,0,15,True,18,3,11903,11275,44121,10954,31196,1970,9128,2203,6204,720,0,372,22,939,5317,10232,6431,2743,1057,2239,3,2,0,2427,4924,47,1,0,1,5,0,0,0,0,1,2,2,68,29,7,0,3
1,SOLO,MIDDLE,0,0,0,0,12,True,11,3,9077,6825,55574,12307,43266,0,10168,548,9620,0,0,211,26,637,5869,8680,4121,3130,1428,704,1,1,0,2029,5987,115,0,0,0,5,1,0,0,0,2,2,2,22,11,3,0,3
2,NONE,JUNGLE,0,0,0,0,14,True,6,2,13829,11800,157402,115177,38303,3922,24890,11137,13191,562,0,370,18,850,11421,17898,11170,4646,2081,10179,1,4,0,8674,17118,192,16,15,1,14,1,0,0,0,2,2,10,20,8,1,0,0
3,DUO_SUPPORT,BOTTOM,0,0,0,0,11,True,10,5,7941,5835,9831,3272,6178,380,3510,1012,2118,380,0,91,31,535,5387,8882,5599,2385,897,4155,8,0,0,1226,1226,4,1,1,0,3,0,0,0,0,1,1,2,26,13,0,0,2
4,DUO_CARRY,BOTTOM,0,0,0,0,12,True,10,7,8824,7275,89426,88034,0,1392,15341,14429,0,912,408,123,20,275,8491,13785,9680,2822,1281,2135,3,1,0,4194,4194,138,11,2,9,2,1,0,0,0,2,1,2,14,6,1,0,1
5,NONE,JUNGLE,0,0,0,0,13,True,11,4,10189,8425,127343,56153,21054,50135,6476,2492,3631,352,0,523,14,602,12361,25353,16847,6469,2036,11812,5,2,0,3673,11355,49,79,47,32,4,0,0,0,0,1,1,2,23,7,1,0,2
6,SOLO,MIDDLE,0,0,0,0,13,False,6,4,9294,9225,88072,12287,47913,27871,15197,1758,8435,5003,0,104,18,743,7851,12965,6400,6026,538,1776,1,0,0,2073,2238,158,1,0,1,6,1,0,0,0,2,2,4,19,10,3,0,1
7,DUO_CARRY,BOTTOM,0,0,0,0,12,False,8,7,9214,9225,91105,80794,9907,402,11870,9733,1734,402,498,56,14,495,12575,15785,10333,4881,570,316,1,1,0,1367,2796,116,21,9,12,7,2,0,0,0,2,2,4,20,8,1,0,1
8,NONE,JUNGLE,0,0,0,0,12,False,4,4,8322,7225,92816,65066,23653,4097,8396,3489,3903,1003,231,714,21,440,13263,20952,14226,6221,504,8849,1,0,0,0,0,12,78,54,24,5,0,0,0,0,1,2,2,9,5,1,0,0
9,SOLO,TOP,0,0,0,0,12,False,1,6,7207,6658,51748,47332,409,4005,8175,6811,409,954,0,153,13,357,9808,14618,8495,5584,538,1191,1,0,0,784,784,135,0,0,0,2,0,0,0,0,1,0,0,12,7,2,0,0
10,DUO_SUPPORT,BOTTOM,0,0,0,0,9,False,13,7,6370,5950,16527,6735,6861,2930,6849,2818,3668,362,0,47,30,326,11764,16655,9342,7256,56,1386,4,0,0,0,0,25,0,0,0,1,0,0,0,0,1,0,0,38,19,3,0,4
1,DUO_CARRY,BOTTOM,0,0,0,0,10,False,3,5,5903,7625,40912,40566,346,0,6491,6295,196,0,543,19,3,442,3594,7865,4413,3217,233,1047,3,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0
2,NONE,JUNGLE,0,0,0,0,10,False,0,3,5891,8135,68930,19405,46173,3352,4408,843,3004,560,0,187,3,916,13019,12893,9734,3071,88,3264,1,0,0,0,0,21,60,49,11,0,0,0,0,0,0,0,0,12,6,2,0,2
3,SOLO,MIDDLE,0,0,0,0,12,False,1,6,7648,6150,76595,71057,5005,532,14261,12293,1436,532,0,106,5,579,7573,13182,8800,3654,727,176,1,0,0,0,0,130,0,0,0,5,0,0,0,0,1,0,0,7,6,0,0,0
4,SOLO,TOP,0,0,0,0,13,False,0,3,9282,8225,93904,89653,0,4251,20996,16797,0,4199,0,198,30,950,21226,23455,13482,9232,740,4159,1,1,0,510,510,173,1,1,0,7,1,0,0,0,2,2,4,7,5,0,0,1
5,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,4,3,5186,4750,9752,2308,7444,0,1727,574,1152,0,0,124,19,717,4334,7089,3495,3593,0,2124,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,7,3,0,2
6,DUO_SUPPORT,BOTTOM,0,0,0,0,10,True,10,3,6410,6375,12644,5411,6668,564,3952,639,2755,557,0,70,24,1038,8848,13766,10701,1364,1701,1414,3,0,0,589,589,28,0,0,0,0,0,0,0,0,0,0,0,38,16,3,0,3
7,DUO_CARRY,BOTTOM,0,0,0,0,12,True,5,3,9894,8675,91060,90012,0,1048,12494,12164,0,330,373,71,11,839,5234,11878,10152,968,757,2061,2,2,0,4407,4407,146,29,19,10,6,0,0,0,0,1,1,4,10,6,0,0,1
8,SOLO,MIDDLE,0,0,0,0,13,True,6,2,10396,9750,103442,16505,86646,290,11425,2672,8752,0,0,233,7,1061,8166,12448,8746,2507,1193,2387,1,1,1,4093,4093,164,2,1,1,6,2,0,0,0,2,1,6,19,10,2,0,4
9,SOLO,TOP,0,0,0,0,12,True,4,3,7851,6550,73499,5663,67540,296,9992,706,9286,0,0,60,16,701,16969,14394,13047,89,1258,476,1,1,0,2510,2510,135,1,0,1,1,0,0,0,0,1,0,0,12,8,1,0,0
10,NONE,JUNGLE,0,0,0,0,13,True,3,1,9653,9325,114962,104310,2548,8102,10993,9004,1086,901,0,264,4,579,8319,17900,14580,2940,380,9128,1,0,0,1580,8072,37,72,41,31,7,0,0,0,0,1,2,5,16,6,2,0,2
1,NONE,JUNGLE,0,0,0,0,10,False,0,6,6334,6100,65688,19736,42167,3784,9887,2605,6564,718,0,319,5,274,7558,16853,13775,2682,395,3724,1,0,0,0,0,3,61,45,16,5,0,0,0,0,1,0,0,7,8,0,0,1
2,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,3,2,5203,4750,11767,3172,8594,0,4240,1326,2914,0,0,166,18,965,2747,7056,4537,2315,203,68,1,0,0,217,217,18,0,0,0,0,0,0,0,0,0,0,0,38,19,4,0,4
3,DUO_CARRY,BOTTOM,0,0,0,0,10,False,2,6,6496,6225,50472,45021,1926,3524,7376,5782,575,1017,0,308,8,245,4601,10747,7235,2922,588,600,2,0,0,430,430,103,0,0,0,3,0,0,0,0,1,0,0,6,4,1,0,1
4,SOLO,MIDDLE,0,0,0,0,11,False,0,4,6225,5400,61462,13979,47483,0,5337,288,5049,0,0,383,7,580,5707,8949,6472,2332,144,1215,1,0,0,537,537,157,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0
5,SOLO,TOP,0,0,0,0,12,False,2,2,7405,7700,73135,73108,27,0,8453,8426,27,0,270,80,3,929,9866,16391,11579,3646,1165,151,1,0,0,2199,2199,145,8,1,7,2,0,0,0,0,1,1,2,17,5,0,0,1
6,DUO_CARRY,BOTTOM,0,0,0,0,11,True,3,4,10375,9300,104705,100845,2680,1180,10543,9920,204,418,1205,176,20,328,4995,10152,7243,2383,525,2373,2,1,0,4223,4223,168,14,12,2,5,1,0,0,0,2,1,3,5,3,0,0,0
7,SOLO,TOP,0,0,0,0,12,True,6,2,8557,7583,83770,77433,2913,3424,9019,6708,1461,849,0,294,7,688,5930,9712,7915,1553,244,2996,1,0,1,2453,4070,132,11,3,8,1,0,0,0,0,1,0,0,11,9,0,0,0
8,SOLO,MIDDLE,0,0,0,0,14,True,2,0,10916,8650,127221,123361,1561,2298,8364,7813,473,78,0,203,1,1289,3038,7217,3408,3670,138,1099,1,6,0,14150,15603,212,11,0,11,4,0,0,0,0,1,1,4,10,6,1,0,0
9,NONE,JUNGLE,0,0,0,0,12,True,6,0,9355,7750,98858,25726,67734,5397,10110,2159,7419,531,500,641,23,0,13471,18739,12072,6279,387,10530,1,1,1,991,9242,12,71,48,23,7,1,0,0,0,2,1,7,17,8,2,0,1
10,DUO_SUPPORT,BOTTOM,0,0,0,0,10,True,11,4,7599,6625,16856,7384,8852,620,6173,1377,4175,620,0,77,29,310,8214,9848,6414,2993,441,980,4,0,0,2115,2115,23,0,0,0,3,0,0,0,0,1,0,0,29,13,3,0,3
