participantId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
1,SOLO,TOP,0,0,0,0,17,False,5,10,14049,14315,181616,178202,116,3297,27437,25203,116,2117,731,381,7,306,29454,35539,19887,10214,5437,6121,1,0,0,3668,11320,255,1,0,1,9,0,0,0,0,1,3,3,22,14,1,0,1
2,NONE,JUNGLE,0,0,0,0,15,False,6,8,13416,13110,134582,24156,98430,11994,20834,1550,18030,1253,0,397,31,510,12309,30105,19882,9457,765,5770,1,2,0,4690,13822,48,57,47,10,12,2,0,0,0,2,3,3,29,10,4,0,4
3,SOLO,MIDDLE,0,0,0,0,16,False,9,8,13472,12750,164043,11867,151855,320,25654,1042,24290,320,0,433,38,910,7652,19669,10990,8153,525,321,1,1,0,1439,3194,234,3,2,1,6,0,0,0,0,1,1,3,26,14,1,0,4
4,DUO_SUPPORT,BOTTOM,0,0,0,0,15,False,13,11,9484,9050,31209,15237,10352,5618,6072,1353,3948,770,0,158,28,319,20375,30947,19029,10413,1504,14643,5,2,0,1916,7852,25,0,0,0,0,0,0,0,0,0,0,0,63,28,9,0,2
5,DUO_CARRY,BOTTOM,0,0,0,0,15,False,7,9,11543,10775,131113,96722,32560,1830,15664,9242,5381,1040,379,214,21,500,15344,30998,23226,7197,575,4095,4,0,0,4467,8331,171,12,4,8,3,0,0,0,0,1,0,0,30,13,5,0,2
6,SOLO,TOP,0,0,0,0,18,True,6,12,15468,14550,187827,140087,44345,3393,26728,20454,4316,1957,0,413,21,282,37791,38733,21798,10599,6336,5405,1,0,0,3878,5294,224,5,4,1,10,2,1,0,0,3,2,3,18,14,1,0,0
7,DUO_CARRY,BOTTOM,0,0,0,0,18,True,10,3,19868,17725,320223,243795,69311,7115,48195,37194,7615,3385,2605,487,29,742,15660,24072,14314,9481,277,7156,3,3,2,11169,23112,312,43,15,28,15,2,0,0,0,2,2,10,57,12,11,0,1
8,DUO_SUPPORT,BOTTOM,0,0,0,0,17,True,26,5,12757,11725,18349,4234,11475,2639,8215,1492,5834,889,0,283,43,860,4859,15631,5096,10353,181,3966,7,1,0,1747,2907,10,1,1,0,4,0,0,0,0,1,1,2,68,33,6,0,7
9,DUO_CARRY,MIDDLE,0,0,0,0,18,True,14,3,14686,12300,185800,17288,166902,1610,26684,951,24748,984,0,1145,16,733,12115,21334,9304,11798,231,6333,2,1,0,2475,15114,184,34,16,18,7,1,0,0,0,2,3,3,31,13,6,0,2
10,DUO_SUPPORT,MIDDLE,0,0,0,0,17,True,9,7,13970,13300,164068,152969,5589,5509,15754,13020,1869,865,0,192,8,586,25164,36718,22091,14061,565,15042,1,3,0,2041,21722,22,107,67,40,10,2,0,0,0,2,3,3,18,9,2,0,7
1,SOLO,TOP,0,0,0,0,18,True,10,5,16459,16780,229299,194736,33442,1119,40507,33321,7186,0,0,347,12,714,24903,28446,21850,5848,746,5524,1,3,0,9671,14306,264,22,19,3,9,1,1,0,0,3,2,5,39,13,2,0,2
2,NONE,JUNGLE,0,0,0,0,18,True,10,4,15161,13875,210640,23204,171875,15560,25406,536,24408,461,1468,321,0,1019,19333,31142,19413,11354,375,22917,5,0,0,3043,31035,52,94,63,31,12,1,0,0,0,2,2,6,74,21,16,0,8
3,DUO_CARRY,BOTTOM,0,0,0,0,17,True,7,2,15747,13750,262741,250527,7852,4361,37291,33405,2598,1288,879,260,18,1779,13179,25310,12865,11905,539,8162,3,3,2,7437,31876,272,35,24,11,5,0,0,0,0,1,1,3,46,10,10,0,2
4,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,14,2,10433,9400,14615,5624,7852,1138,5565,991,3563,1010,0,112,19,1775,28294,19977,12113,7165,698,8042,5,0,0,989,3178,15,0,0,0,1,0,0,0,0,1,0,0,78,36,11,0,6
5,SOLO,MIDDLE,0,0,0,0,16,True,6,4,13318,12460,159572,24016,134997,558,25505,1551,23636,317,818,87,2,1451,19345,36533,17893,17307,1332,27289,1,0,0,2034,13235,236,0,0,0,3,0,0,0,0,1,1,3,27,12,7,0,0
6,SOLO,MIDDLE,0,0,0,0,17,False,6,4,13319,12510,224766,11632,212935,198,24626,1398,23077,150,1106,60,45,715,22044,29055,14905,13301,847,6768,1,0,0,264,633,272,12,10,2,3,0,0,0,0,1,1,3,21,18,2,0,5
7,DUO_SUPPORT,BOTTOM,0,0,0,0,14,False,10,9,11141,10700,38926,9256,27185,2483,15858,2573,12418,866,0,224,21,608,11438,25230,12919,12148,163,2867,4,1,0,1012,4328,25,1,0,1,4,0,0,0,0,1,1,2,96,44,14,0,10
8,NONE,JUNGLE,0,0,0,0,15,False,12,5,9693,9325,251379,3891,6108,241379,6114,1384,3512,1217,0,132,104,1030,23530,22633,11790,10059,784,9129,11,2,0,1280,6254,7,47,45,2,0,0,0,0,0,0,0,0,58,32,4,0,9
9,SOLO,TOP,0,0,0,0,18,False,7,5,16357,14800,329476,266206,62701,568,19486,17092,2393,0,1030,110,12,956,43329,54670,34414,19412,843,23872,1,2,0,6726,17320,309,71,23,48,4,0,0,0,0,1,1,2,28,15,3,0,0
10,DUO_CARRY,BOTTOM,0,0,0,0,17,False,5,7,15683,14025,274834,211158,60176,3498,34572,27248,5865,1458,1817,363,29,606,12849,24544,15067,9038,439,3202,3,0,0,2601,2601,301,34,32,2,6,1,0,0,0,2,1,4,31,16,3,0,3
1,DUO_CARRY,BOTTOM,0,0,0,0,12,True,3,3,8754,6375,79650,54147,23882,1620,17078,9863,6914,300,385,199,0,363,5582,11718,9732,1985,0,1798,2,0,0,2202,2202,170,8,7,1,4,0,0,0,0,1,1,3,23,9,5,0,2
2,SOLO,TOP,0,0,0,0,13,True,2,2,9722,9050,105716,101521,3256,938,12495,11247,1200,48,0,93,0,685,13055,20128,15976,3779,372,4941,1,1,0,4800,6443,180,0,0,0,6,1,0,0,0,2,2,4,8,6,1,0,0
3,SOLO,MIDDLE,0,0,0,0,12,True,4,4,8477,8150,79923,9874,69618,430,13215,1236,11865,114,0,669,0,272,5675,9510,4528,4982,0,819,1,1,0,2193,2193,128,14,8,6,5,1,0,0,0,2,2,3,18,10,3,0,4
4,DUO_SUPPORT,BOTTOM,0,0,0,0,10,True,8,3,6008,4825,12058,4625,7432,0,4420,1019,3401,0,0,72,0,535,7292,11723,8108,3586,28,1535,3,0,0,337,337,23,0,0,0,2,0,0,0,0,1,1,2,32,17,5,0,7
5,NONE,JUNGLE,0,0,0,0,10,True,5,2,7164,6645,91824,26401,20152,45270,4222,820,3034,368,0,588,0,1060,11404,19324,13758,5565,0,11265,4,1,0,1360,23105,18,56,26,30,2,0,0,0,0,1,1,2,42,20,1,0,6
6,DUO_CARRY,BOTTOM,0,0,0,0,11,False,1,3,7839,7825,58455,56329,2125,0,14144,12825,1318,0,308,14,0,366,4852,12439,7113,5025,300,1290,2,0,0,0,598,140,0,0,0,6,0,0,0,0,1,2,2,15,3,5,0,1
7,SOLO,MIDDLE,0,0,0,0,11,False,4,3,6811,6900,63501,5500,58001,0,10858,292,10565,0,0,3555,0,354,4727,12625,3957,8474,194,3626,1,0,0,0,690,125,2,2,0,2,0,0,0,0,1,0,0,7,6,1,0,0
8,DUO_SUPPORT,BOTTOM,0,0,0,0,9,False,10,3,5705,5175,9765,2676,4855,2233,5083,1040,4043,0,0,397,0,765,7707,13871,7712,6158,0,1695,5,0,0,0,0,19,0,0,0,1,0,0,0,0,1,0,0,41,19,4,0,3
9,NONE,JUNGLE,0,0,0,0,11,False,5,5,6600,6150,76603,56095,13710,6798,6966,5167,1398,400,0,536,0,343,10203,16393,12241,3992,160,4206,1,0,0,0,1945,27,65,42,23,2,0,0,0,0,1,0,0,14,10,3,0,3
10,SOLO,TOP,0,0,0,0,10,False,3,5,6899,6550,52595,50823,1771,0,10849,10072,777,0,0,95,0,258,9457,12778,9285,3316,176,692,1,1,0,2736,2736,105,0,0,0,3,1,0,0,0,2,1,3,9,9,1,0,2
1,SOLO,MIDDLE,0,0,0,0,14,True,4,4,10831,9450,105579,104217,38,1323,10297,9615,0,682,614,196,0,612,12543,17003,6863,8819,1320,2727,1,1,0,3770,6243,172,3,0,3,5,0,0,0,0,1,2,2,15,4,5,0,0
2,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,12,3,9478,8200,42247,5162,36346,738,20278,2099,17617,561,0,149,0,532,5411,11320,4308,5972,1039,1994,4,0,0,2069,2069,25,0,0,0,3,0,0,0,0,1,0,0,57,24,4,0,4
3,SOLO,TOP,0,0,0,0,16,True,4,2,13636,13375,153950,149795,2147,2007,19033,16233,2147,652,0,536,0,968,12954,24073,17592,3949,2531,7776,1,4,0,11209,13361,209,5,0,5,12,0,0,0,0,1,2,9,27,13,1,0,3
