accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
50333250,DUO_CARRY,BOTTOM,0,0,0,0,13,False,1,5,10023,9575,107983,104745,3191,47,18470,17228,1194,47,473,18,2,817,6965,16864,8595,7687,582,2349,3,1,0,1889,1889,212,1,1,0,4,0,0,0,0,1,1,4,13,9,1,0,1
205551548,NONE,JUNGLE,0,0,0,0,12,False,2,3,7930,7850,94968,22569,62771,9627,6051,790,4763,497,163,125,19,1256,22890,22436,12644,9568,224,6443,1,0,0,0,0,22,82,60,22,2,0,0,0,0,1,1,2,35,14,1,0,3
203224862,SOLO,TOP,0,0,0,0,14,False,0,4,8629,8075,109200,95547,13650,2,12581,9881,2700,0,0,133,4,1039,10077,14886,11286,3408,192,994,1,0,0,0,0,211,3,3,0,1,0,0,0,0,1,0,0,15,9,1,0,1
45989333,SOLO,MIDDLE,0,0,0,0,13,False,4,9,9171,9185,107547,11594,95051,902,14257,1661,11693,902,627,2444,36,314,10508,24743,7792,15803,1148,8832,1,0,0,0,0,188,8,2,6,2,0,0,0,0,1,0,0,13,10,0,0,1
207637718,DUO_SUPPORT,BOTTOM,0,0,0,0,11,False,3,6,6354,5375,10190,2077,7242,871,6637,1092,4673,871,0,172,21,417,10164,14253,8079,5956,218,142,1,0,0,380,380,7,0,0,0,1,0,0,0,0,1,0,0,59,30,6,0,5
201893224,SOLO,MIDDLE,0,0,0,0,16,True,8,3,12925,9785,125511,16500,108119,892,24683,2003,21787,892,0,189,52,578,8635,13847,8276,5113,457,2535,1,1,1,3894,9189,201,4,0,4,9,1,0,0,0,2,3,4,32,13,5,0,1
203248348,SOLO,TOP,0,0,0,0,16,True,4,0,12422,11650,166580,164141,2439,0,15538,13763,1774,0,0,219,17,0,19782,19677,15047,4456,174,3310,1,4,0,6946,9863,254,6,6,0,4,1,1,0,0,3,1,4,27,11,0,0,2
587112,DUO_CARRY,BOTTOM,0,0,0,0,14,True,8,2,12613,9500,125653,112814,11897,942,15316,12408,2908,0,547,414,28,722,7439,16150,9092,6543,514,2694,2,3,0,7752,14494,209,11,0,11,6,0,0,0,0,1,1,4,14,8,2,0,0
203875417,NONE,JUNGLE,0,0,0,0,14,True,9,1,11333,8700,133422,39801,83448,10172,12929,3020,8893,1016,565,909,31,1241,26569,30124,22162,7428,533,15636,1,0,0,2474,12007,21,83,47,36,5,0,0,0,0,1,2,3,22,6,5,0,1
201114720,DUO_SUPPORT,BOTTOM,0,0,0,0,13,True,12,4,8805,6375,19958,5680,12821,1456,6200,1372,4371,456,0,87,25,906,12316,16076,7508,4928,3639,3674,5,0,0,1088,1604,34,0,0,0,3,0,0,0,0,1,1,2,56,25,3,0,3
204101204,DUO_CARRY,BOTTOM,0,0,0,0,10,False,0,2,6003,5625,61267,57536,3731,0,4888,4067,821,0,248,165,11,645,3267,6970,5487,1408,75,822,2,0,0,2272,2272,139,6,1,5,0,0,0,0,0,0,0,0,13,9,0,0,3
204652729,SOLO,MIDDLE,0,0,0,0,11,False,1,3,6310,5950,66098,12727,53370,0,7067,295,6772,0,0,554,12,583,4574,7910,3075,4607,227,70,1,0,0,527,527,161,0,0,0,0,0,0,0,0,0,0,0,9,10,1,0,2
