accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
200841535,NONE,JUNGLE,0,0,0,0,16,False,4,4,13784,13450,229947,205523,7580,16843,29337,24393,1841,3103,0,972,27,712,21272,26560,9449,12447,4663,11013,1,2,0,2346,16085,118,93,45,48,10,2,1,0,0,3,3,4,30,14,3,0,5
36176854,SOLO,TOP,0,0,0,0,15,False,6,7,9703,9078,110787,84432,26355,0,13142,7697,5444,0,0,113,15,564,26472,30868,11435,18787,645,1699,1,1,0,4020,4802,157,1,1,0,0,0,0,0,0,0,0,0,14,10,0,0,1
203888604,SOLO,MIDDLE,0,0,0,0,14,False,4,9,11106,9585,118745,14994,102041,1709,14101,1801,11552,747,176,362,33,493,11641,26141,13188,12482,470,2451,1,0,0,1055,1055,169,11,11,0,5,0,0,0,0,1,0,0,13,13,3,0,2
201058919,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,14,7,7848,6875,15587,3710,10933,944,5175,504,3727,944,0,107,32,613,19128,20178,12764,7414,0,1067,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,58,32,3,0,5
40556224,DUO_CARRY,BOTTOM,0,0,0,0,14,False,5,7,10948,10533,134932,108097,25471,1363,35633,28231,6216,1185,0,48,3,701,14808,24268,14554,9513,200,2433,3,0,0,0,0,171,7,6,1,7,0,0,0,0,1,2,3,9,8,1,0,0
40732798,SOLO,MIDDLE,0,0,0,0,16,True,12,4,12993,11975,131879,6771,123318,1790,24952,808,22379,1765,0,711,51,650,62555,21028,16826,2520,1681,3194,1,1,0,1873,2952,207,5,4,1,6,0,0,0,0,1,2,3,27,12,4,0,1
40123092,DUO_CARRY,BOTTOM,0,0,0,0,16,True,6,8,16285,14875,208076,174379,30577,3120,37719,32883,3227,1608,634,151,20,538,16480,27301,19279,7184,838,6741,4,4,0,11668,17115,248,12,5,7,14,3,0,0,0,2,3,6,16,6,2,0,2
201836507,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,21,4,10475,8175,29368,6501,22286,580,14449,2776,11092,580,0,229,37,644,12739,19028,12404,6028,596,8197,5,0,0,854,1154,23,3,1,2,2,0,0,0,0,1,0,0,72,22,7,0,6
42845606,NONE,JUNGLE,0,0,0,0,15,True,11,3,12024,10675,158685,31478,115171,12034,11387,1945,8309,1132,0,935,47,919,28393,35402,24695,8037,2669,36925,5,1,0,1548,14604,39,113,67,46,5,1,0,0,0,2,1,5,44,12,4,0,4
200049101,SOLO,TOP,0,0,0,0,16,True,8,3,12086,11025,99859,22702,74092,3064,19349,4288,14417,643,0,366,43,397,41827,34791,25948,7914,928,9456,1,1,1,501,8863,162,3,0,3,7,0,0,0,0,1,2,4,25,14,5,0,3
